Date,Ticker,Close,Target_Risk,pred_logistic,proba_logistic,pred_rf,proba_rf
2024-12-27,BBVA,9.386,0,0,0.2817807719095145,1,0.6533521207260885
2024-12-30,BBVA,9.37,0,0,0.2906167105810548,1,0.6420513798968546
2024-12-31,BBVA,9.452,0,0,0.27788050697639033,1,0.6314781053635443
2025-01-02,BBVA,9.298,0,0,0.2795614916830392,0,0.42542668975802256
2025-01-03,BBVA,9.318,0,0,0.32327258457384933,0,0.48352508357624874
2025-01-06,BBVA,9.744,0,0,0.3042627215829508,1,0.5003825469985677
2025-01-07,BBVA,9.874,0,0,0.30915046670172375,0,0.49017637988943
2025-01-08,BBVA,9.902,0,0,0.30900791350201945,1,0.5003026011547125
2025-01-09,BBVA,9.994,0,0,0.3275092584599181,0,0.483802801094727
2025-01-10,BBVA,9.936,0,0,0.30674695721463724,0,0.4704198753793033
2025-01-13,BBVA,10.245,0,0,0.3006827633793903,1,0.5137595220588325
2025-01-14,BBVA,10.345,0,0,0.34962313283750723,1,0.5500030074400681
2025-01-15,BBVA,10.41,0,0,0.37970695506139907,1,0.5541056507725544
2025-01-16,BBVA,10.33,0,0,0.4022626507092042,1,0.5665431174350448
2025-01-17,BBVA,10.335,0,0,0.392845554843323,1,0.5818690716994428
2025-01-20,BBVA,10.425,0,0,0.38122235324421805,1,0.5976293267205343
2025-01-21,BBVA,10.44,0,0,0.3991668779459077,1,0.6001070180444961
2025-01-22,BBVA,10.355,0,0,0.4157266911296134,1,0.5889342359453079
2025-01-23,BBVA,10.635,0,0,0.4296607323512359,1,0.5980597207839159
2025-01-24,BBVA,10.72,0,0,0.4278487681888615,1,0.5985406279936254
2025-01-27,BBVA,10.785,0,0,0.4194831994291577,1,0.5920324426878629
2025-01-28,BBVA,10.94,0,0,0.4309690551700901,1,0.6028023884750574
2025-01-29,BBVA,11.065,0,0,0.42669934025717104,1,0.5978350620692484
2025-01-30,BBVA,11.215,0,0,0.39646364278766366,1,0.5992392487760838
2025-01-31,BBVA,11.05,0,0,0.42571608690336354,1,0.5876437107221169
2025-02-03,BBVA,10.745,0,1,0.5042052450301722,1,0.587094464842456
2025-02-04,BBVA,11.0,0,0,0.44223482212806514,1,0.598929959243447
2025-02-05,BBVA,11.03,0,0,0.45872890651138865,1,0.6107519155365132
2025-02-06,BBVA,11.635,0,0,0.49402204215149736,1,0.6369522730361513
2025-02-07,BBVA,11.65,0,1,0.5348566458723872,1,0.672686430823504
2025-02-10,BBVA,11.505,0,1,0.6067416708740001,1,0.6521323114724538
2025-02-11,BBVA,11.705,0,1,0.5378292700380692,1,0.648529043976559
2025-02-12,BBVA,11.96,0,1,0.5195722792162243,1,0.6474180363834149
2025-02-13,BBVA,11.955,0,1,0.5002822806007539,1,0.6449711201183131
2025-02-14,BBVA,12.05,0,1,0.5697015901692896,1,0.6411693698528997
2025-02-17,BBVA,12.195,0,1,0.5896164366009036,1,0.665075570258579
2025-02-18,BBVA,12.45,0,1,0.5761988502604044,1,0.6664220762043818
2025-02-19,BBVA,12.125,0,1,0.594624082762882,1,0.6663014703492034
2025-02-20,BBVA,12.17,0,1,0.6180820850983063,1,0.6616635954913656
2025-02-21,BBVA,12.29,0,1,0.5972295971671486,1,0.6721139074324547
2025-02-24,BBVA,12.405,1,1,0.6111334350249508,1,0.6665336535665985
2025-02-25,BBVA,12.575,1,1,0.6072533484126859,1,0.6717982632770862
2025-02-26,BBVA,12.935,1,1,0.644183097267941,1,0.6755571525455989
2025-02-27,BBVA,12.89,1,1,0.6199925623231658,1,0.6747896716705531
2025-02-28,BBVA,12.825,1,1,0.614818048016057,1,0.6795410698718781
2025-03-03,BBVA,12.93,1,1,0.5403433326366258,0,0.4180148477809771
2025-03-04,BBVA,12.25,1,1,0.5269868447853863,0,0.34806480330776784
2025-03-05,BBVA,12.84,1,1,0.5288678673065098,0,0.39315582005005045
2025-03-06,BBVA,13.13,1,0,0.4959397625888126,0,0.38468844704051625
2025-03-07,BBVA,13.16,1,1,0.5213332262575431,0,0.37543812895863804
2025-03-10,BBVA,12.76,1,0,0.4940078250925921,0,0.38832781742123523
2025-03-11,BBVA,12.535,1,1,0.5334336779150652,0,0.3752738589958382
2025-03-12,BBVA,12.875,1,0,0.4588669178166946,0,0.4005051790599434
2025-03-13,BBVA,12.77,1,0,0.4432979249632527,0,0.3887637313315113
2025-03-14,BBVA,13.18,1,1,0.5390583934016183,0,0.40196341208114683
2025-03-17,BBVA,13.275,1,1,0.5689246574460627,0,0.40438025409674333
2025-03-18,BBVA,13.585,1,1,0.6033516146867627,0,0.4235627046734958
2025-03-19,BBVA,13.445,1,1,0.5813158071229249,0,0.39801474643210955
2025-03-20,BBVA,13.08,1,1,0.6336644149535202,0,0.39754314470173274
2025-03-21,BBVA,13.075,1,1,0.6039737461844356,0,0.39709588575672417
2025-03-24,BBVA,13.135,1,1,0.5983707314733131,0,0.39758111666687285
2025-03-25,BBVA,13.44,1,1,0.598282335026597,0,0.4060309338907413
2025-03-26,BBVA,13.325,1,1,0.6067636171615443,0,0.40413346292276875
2025-03-27,BBVA,13.15,1,1,0.6274736426693944,0,0.3783017704939053
2025-03-28,BBVA,12.725,1,1,0.5709276056295907,0,0.3803423093677941
2025-03-31,BBVA,12.545,1,1,0.5100188789798943,0,0.3342053176325894
